id,index,c_rmsd,i_rmsd,l_rmsd,fnat,DockQ,ranking_energy,ranking_num_clashes
2HRK,0,8.18238639831543,6.409767150878906,15.891200065612793,0.0,0.09145968588234704,-22.329198837280273,1
2HRK,1,12.607961654663086,10.156537055969238,22.524198532104492,0.0,0.04866779161998203,-22.746185302734375,0
2HRK,2,6.057469844818115,5.304178714752197,12.854540824890137,0.0,0.12609190260847414,-20.847131729125977,0
2HRK,3,12.092774391174316,9.763029098510742,21.785655975341797,0.0,0.05172596215461019,-22.235212326049805,0
2HRK,4,11.456934928894043,9.177735328674316,21.127437591552734,0.0,0.0551099063890604,-20.244205474853516,0
2HRK,5,7.994629859924316,6.153229713439941,16.84671401977539,0.0,0.08633561277348432,-18.503509521484375,2
2HRK,6,6.943595886230469,5.50067138671875,13.693765640258789,0.0,0.1157821772964507,-23.09291648864746,0
2HRK,7,9.042704582214355,6.503819942474365,26.20655059814453,0.0,0.048564095214190854,-16.13602066040039,0
2HRK,8,5.528232097625732,4.538886547088623,11.700973510742188,0.0,0.14796219653642229,-19.08810043334961,0
2HRK,9,9.520544052124023,7.620116710662842,19.2698974609375,0.0,0.06672770355886531,-18.841218948364258,2
2HRK,10,14.433555603027344,12.010702133178711,25.26329803466797,0.0,0.03901628014809105,-20.145050048828125,0
2HRK,11,13.998598098754883,11.766548156738281,24.488786697387695,0.0,0.0411713521289038,-23.93526840209961,0
2HRK,12,6.202269077301025,4.867420673370361,12.528498649597168,0.142857,0.1815994258267959,-22.454805374145508,0
2HRK,13,14.668811798095703,12.417579650878906,25.0554141998291,0.0,0.03919757083891042,-21.69717788696289,1
2HRK,14,7.405523777008057,6.164668560028076,15.904126167297363,0.0,0.0926910755423745,-20.27852439880371,0
1LFD,0,5.84627628326416,4.259443759918213,14.396943092346191,0.4,0.25626990889457724,-15.781852722167969,8
1LFD,1,4.89804220199585,5.379601001739502,12.878389358520508,0.0,0.12519282600007617,-16.544809341430664,1
1LFD,2,3.67386531829834,3.8166441917419434,7.87042236328125,0.0,0.22406547850726655,-15.651067733764648,0
1LFD,3,5.6565937995910645,5.918542861938477,14.151507377624512,0.0,0.10849277269271666,-16.097307205200195,0
1LFD,4,4.531926155090332,4.691001892089844,9.951720237731934,0.0,0.1715232657495321,-13.982681274414062,2
1LFD,5,4.586269378662109,4.12367582321167,11.297078132629395,0.133333,0.20388844987071056,-16.038532257080078,1
1LFD,6,12.151936531066895,12.38426685333252,26.622493743896484,0.0,0.03565568106147148,-16.944005966186523,0
1LFD,7,3.399064779281616,3.708477735519409,7.98171329498291,0.0,0.22400514467127378,-15.694599151611328,0
1LFD,8,4.5253586769104,5.1970601081848145,12.166536331176758,0.0,0.13496598460777498,-16.490964889526367,0
1LFD,9,6.560501575469971,6.376003265380859,14.606040000915527,0.0,0.10181053602442057,-16.0402889251709,2
1LFD,10,9.414238929748535,8.944853782653809,17.660215377807617,0.0,0.07181265247233508,-15.951833724975586,4
1LFD,11,9.403475761413574,9.296708106994629,19.147323608398438,0.0,0.06333327032149105,-15.519939422607422,1
1LFD,12,13.615506172180176,11.770713806152344,34.3459358215332,0.0,0.024564244383893454,-15.920432090759277,13
