id,index,c_rmsd,i_rmsd,l_rmsd,fnat,DockQ,ranking_energy,ranking_num_clashes
2HRK,0,14.41845703125,11.96013069152832,24.75564956665039,0.0,0.040315341699409105,-21.30449676513672,0
2HRK,1,14.171062469482422,11.752392768859863,24.088552474975586,0.0,0.0422519203454454,-22.19675636291504,1
2HRK,2,4.874888896942139,3.819124460220337,10.15101432800293,0.285714,0.277175108555976,-25.79379653930664,0
2HRK,3,13.714631080627441,11.437685012817383,24.01266860961914,0.0,0.042752582676779345,-22.725204467773438,0
2HRK,4,14.08205795288086,11.538885116577148,24.51869773864746,0.0,0.04130221967309567,-21.371265411376953,1
2HRK,5,4.938631057739258,3.929485559463501,11.149322509765625,0.0,0.16492048739436763,-21.142898559570312,0
2HRK,6,11.014208793640137,8.746771812438965,20.325525283813477,0.0,0.059140872635030095,-18.137619018554688,2
2HRK,7,13.306241035461426,9.877470970153809,28.96574592590332,0.142857,0.08156142274118708,-14.961309432983398,0
2HRK,8,14.35911750793457,11.859580039978027,24.147310256958008,0.0,0.0419976651819342,-20.13002586364746,0
2HRK,9,8.253686904907227,6.7673234939575195,16.577659606933594,0.0,0.08500048465677372,-20.554183959960938,0
2HRK,10,11.06029224395752,9.247486114501953,21.72597885131836,0.0,0.052794471865718735,-18.30820083618164,1
2HRK,11,13.997042655944824,11.547513008117676,24.104412078857422,0.0,0.042396842383560986,-20.140775680541992,1
2HRK,12,13.798681259155273,11.241156578063965,24.233993530273438,0.0,0.04234696661980891,-21.53031349182129,0
2HRK,13,13.867156028747559,11.432727813720703,23.754798889160156,0.0,0.0434756347589702,-22.233192443847656,1
2HRK,14,14.59456729888916,12.223876953125,24.650598526000977,0.0,0.040366614155797995,-19.813913345336914,1
1LFD,0,6.7619404792785645,7.481813430786133,18.956668853759766,0.0,0.06867994379180062,-14.050548553466797,3
1LFD,1,4.243355751037598,4.434309482574463,12.066224098205566,0.0,0.14477933857197997,-17.515398025512695,1
