id,index,c_rmsd,i_rmsd,l_rmsd,fnat,DockQ,baseline_energy,baseline_num_clashes
2HRK,0,10.216511726379395,8.077767372131348,19.160842895507812,0.0,0.06592215563370221,-52.85280227661133,0
2HRK,1,6.206972599029541,5.127298831939697,13.454608917236328,0.0,0.12136677069609132,-56.78774642944336,0
2HRK,2,13.309808731079102,10.907069206237793,23.23011016845703,0.0,0.04554644962599294,-45.721614837646484,1
2HRK,3,5.131896495819092,4.000669479370117,11.41620922088623,0.142857,0.20758600552988415,-53.09028244018555,0
2HRK,4,9.735074043273926,7.749417304992676,18.677955627441406,0.0,0.0692271591517462,-44.772117614746094,0
2HRK,5,14.841683387756348,12.831796646118164,25.227712631225586,0.0,0.038476583283826256,-43.722999572753906,1
2HRK,6,14.364179611206055,12.077824592590332,24.246484756469727,0.0,0.04154537910382274,-40.1846809387207,3
2HRK,7,10.447386741638184,7.853591442108154,26.3144474029541,0.142857,0.09084460969656678,-54.857025146484375,0
2HRK,8,13.863821983337402,11.494068145751953,24.088943481445312,0.0,0.04248965348851431,-47.49330520629883,0
2HRK,9,10.254244804382324,8.180685997009277,20.465011596679688,0.0,0.059885179503529444,-38.13438034057617,3
2HRK,10,8.625006675720215,7.341550350189209,17.886255264282227,0.0,0.07476820501049605,-48.972103118896484,0
2HRK,11,4.192658424377441,3.383061647415161,8.708261489868164,0.0,0.21739720802079274,-58.598724365234375,0
2HRK,12,9.428094863891602,7.679576873779297,18.587358474731445,0.0,0.06990122189985186,-36.141666412353516,1
2HRK,13,14.352643966674805,12.13468074798584,24.754098892211914,0.0,0.04017406624481601,-55.697662353515625,0
2HRK,14,13.753547668457031,11.39305305480957,24.504499435424805,0.0,0.041479505847006125,-51.30006790161133,0
1LFD,0,6.004554748535156,5.008894920349121,13.903529167175293,0.266667,0.20701180823174584,-38.053836822509766,5
1LFD,1,2.821174383163452,3.405585289001465,6.38266658782959,0.0,0.2673080643477624,-49.791282653808594,0
1LFD,2,5.36672830581665,5.333278656005859,13.534371376037598,0.0,0.1187205988586762,-39.424739837646484,1
1LFD,3,6.314735412597656,5.607478618621826,19.061059951782227,0.0,0.0775503023040121,-49.0832633972168,0
1LFD,4,4.444374084472656,4.671706199645996,9.983506202697754,0.0,0.17123706923850426,-42.62265396118164,0
1LFD,5,5.5382890701293945,5.537247180938721,14.682673454284668,0.0,0.10646047300608479,-40.19696807861328,0
1LFD,6,4.488702774047852,4.886941909790039,11.735690116882324,0.0,0.14339563985720952,-38.255462646484375,1
1LFD,7,10.143298149108887,10.991451263427734,20.84834098815918,0.0,0.05360519221728601,-41.311790466308594,2
1LFD,8,4.989742279052734,5.624513626098633,13.318729400634766,0.0,0.11860639981392467,-38.91680145263672,0
1LFD,9,4.043030261993408,4.289308547973633,11.055935859680176,0.0,0.16015496697553908,-40.516353607177734,0
1LFD,10,4.120303153991699,4.579639911651611,11.533276557922363,0.0,0.14962259528965297,-43.10932922363281,0
1LFD,11,5.492709159851074,5.794747829437256,13.905745506286621,0.0,0.11160116007419996,-37.438873291015625,4
1LFD,12,13.804121017456055,15.468629837036133,38.67905044555664,0.0,0.018461368639364106,-40.21686553955078,4
1LFD,13,7.238021373748779,7.707631587982178,20.91714859008789,0.0,0.05940682326998967,-37.839927673339844,3
1LFD,14,7.246298313140869,6.4099040031433105,18.195335388183594,0.133333,0.12146329719023798,-53.003204345703125,0
2YVJ,0,21.57793426513672,14.582880973815918,54.9420051574707,0.0,0.011281581474435637,-24.17028045654297,8
2YVJ,1,21.504850387573242,13.697319984436035,55.24580383300781,0.0,0.011658415207502765,-27.405550003051758,5
2YVJ,2,8.086973190307617,4.359623908996582,23.588153839111328,0.0,0.07359316704561993,-46.23966979980469,0
2YVJ,3,9.779098510742188,5.935488224029541,28.46867561340332,0.0,0.04729389547249885,-47.36007308959961,0
2YVJ,4,17.66657829284668,9.661462783813477,42.455665588378906,0.0,0.020691961974959733,-17.597745895385742,54
2YVJ,5,6.196768760681152,4.494450092315674,15.806099891662598,0.0,0.10818118548141052,-42.78771209716797,0
2YVJ,6,7.908634662628174,7.537831783294678,20.34358024597168,0.0,0.062239877383498204,-28.03879737854004,7
2YVJ,7,21.842941284179688,15.783357620239258,56.968223571777344,0.0,0.010242917706059507,-31.899173736572266,1
2YVJ,8,8.011570930480957,5.968664169311523,20.752485275268555,0.0,0.06768942652799463,-47.01705551147461,0
2YVJ,9,8.792980194091797,5.329460620880127,25.654592514038086,0.0,0.05743973942721953,-46.98587417602539,0
2YVJ,10,23.009233474731445,13.93021011352539,58.45449447631836,0.0,0.010722962381213536,-27.63589859008789,1
2YVJ,11,21.349632263183594,14.766372680664062,55.4747428894043,0.0,0.011050751872443624,-26.293079376220703,4
